Timestamp,Market Cap (USD),Coin
2023-11-15 00:00:00,694845286838.959,Bitcoin (BTC)
2023-11-16 00:00:00,739215831747.2646,Bitcoin (BTC)
2023-11-17 00:00:00,707488742969.5619,Bitcoin (BTC)
2023-11-18 00:00:00,714651953916.8749,Bitcoin (BTC)
2023-11-19 00:00:00,715117663450.342,Bitcoin (BTC)
2023-11-20 00:00:00,732521837352.2426,Bitcoin (BTC)
2023-11-21 00:00:00,732673492672.5168,Bitcoin (BTC)
2023-11-22 00:00:00,702705880301.6978,Bitcoin (BTC)
2023-11-23 00:00:00,732259726682.3702,Bitcoin (BTC)
2023-11-24 00:00:00,728816537112.472,Bitcoin (BTC)
2023-11-25 00:00:00,737614054534.8141,Bitcoin (BTC)
2023-11-26 00:00:00,739536714717.2401,Bitcoin (BTC)
2023-11-27 00:00:00,733376783676.3198,Bitcoin (BTC)
2023-11-28 00:00:00,728040168286.0479,Bitcoin (BTC)
2023-11-29 00:00:00,738816928726.5587,Bitcoin (BTC)
2023-11-30 00:00:00,740494537382.5989,Bitcoin (BTC)
2023-12-01 00:00:00,737659515838.6104,Bitcoin (BTC)
2023-12-02 00:00:00,756249390093.0282,Bitcoin (BTC)
2023-12-03 00:00:00,771834682369.2777,Bitcoin (BTC)
2023-12-04 00:00:00,782845232813.069,Bitcoin (BTC)
2023-12-05 00:00:00,820527379429.3416,Bitcoin (BTC)
2023-12-06 00:00:00,863171503830.3232,Bitcoin (BTC)
2023-12-07 00:00:00,857037901744.5414,Bitcoin (BTC)
2023-12-08 00:00:00,848245522795.3333,Bitcoin (BTC)
2023-12-09 00:00:00,863242780337.311,Bitcoin (BTC)
2023-12-10 00:00:00,855611272269.695,Bitcoin (BTC)
2023-12-11 00:00:00,856192504674.1926,Bitcoin (BTC)
2023-12-12 00:00:00,806178244439.1412,Bitcoin (BTC)
2023-12-13 00:00:00,812055172695.532,Bitcoin (BTC)
2023-12-14 00:00:00,840112594142.6609,Bitcoin (BTC)
2023-12-15 00:00:00,841400560142.884,Bitcoin (BTC)
2023-12-16 00:00:00,821883086852.3783,Bitcoin (BTC)
2023-12-17 00:00:00,825747211475.3832,Bitcoin (BTC)
2023-12-18 00:00:00,810534011290.7083,Bitcoin (BTC)
2023-12-19 00:00:00,834757901244.3383,Bitcoin (BTC)
2023-12-20 00:00:00,827483345952.5029,Bitcoin (BTC)
2023-12-21 00:00:00,854173854159.8182,Bitcoin (BTC)
2023-12-22 00:00:00,858312140014.9476,Bitcoin (BTC)
2023-12-23 00:00:00,861822676200.4246,Bitcoin (BTC)
2023-12-24 00:00:00,856850313226.057,Bitcoin (BTC)
2023-12-25 00:00:00,845029028630.4425,Bitcoin (BTC)
2023-12-26 00:00:00,854524607072.9797,Bitcoin (BTC)
2023-12-27 00:00:00,832471600531.6842,Bitcoin (BTC)
2023-12-28 00:00:00,849194163327.4839,Bitcoin (BTC)
2023-12-29 00:00:00,836073458797.803,Bitcoin (BTC)
2023-12-30 00:00:00,822933961870.5416,Bitcoin (BTC)
2023-12-31 00:00:00,826609156660.5117,Bitcoin (BTC)
2024-01-01 00:00:00,827596236151.1959,Bitcoin (BTC)
2024-01-02 00:00:00,863804922701.8125,Bitcoin (BTC)
2024-01-03 00:00:00,878395004792.8407,Bitcoin (BTC)
2024-01-04 00:00:00,838208392904.1771,Bitcoin (BTC)
2024-01-05 00:00:00,866352960236.8643,Bitcoin (BTC)
2024-01-06 00:00:00,863690851062.0247,Bitcoin (BTC)
2024-01-07 00:00:00,861211168830.4689,Bitcoin (BTC)
2024-01-08 00:00:00,856926317087.4954,Bitcoin (BTC)
2024-01-09 00:00:00,919666641903.4098,Bitcoin (BTC)
2024-01-10 00:00:00,902166917320.3264,Bitcoin (BTC)
2024-01-11 00:00:00,915259343942.0361,Bitcoin (BTC)
2024-01-12 00:00:00,909846384596.2129,Bitcoin (BTC)
2024-01-13 00:00:00,838383512176.7352,Bitcoin (BTC)
2024-01-14 00:00:00,839198740717.084,Bitcoin (BTC)
2024-01-15 00:00:00,822907066751.3778,Bitcoin (BTC)
2024-01-16 00:00:00,835225973285.8562,Bitcoin (BTC)
2024-01-17 00:00:00,845770850849.578,Bitcoin (BTC)
2024-01-18 00:00:00,836987995502.6503,Bitcoin (BTC)
2024-01-19 00:00:00,808845819110.2808,Bitcoin (BTC)
2024-01-20 00:00:00,815241536115.3193,Bitcoin (BTC)
2024-01-21 00:00:00,817217622403.9753,Bitcoin (BTC)
2024-01-22 00:00:00,814709364023.4832,Bitcoin (BTC)
2024-01-23 00:00:00,775020895102.2928,Bitcoin (BTC)
2024-01-24 00:00:00,779133357029.7626,Bitcoin (BTC)
2024-01-25 00:00:00,786928905377.1826,Bitcoin (BTC)
2024-01-26 00:00:00,783180536824.566,Bitcoin (BTC)
2024-01-27 00:00:00,820989861818.084,Bitcoin (BTC)
2024-01-28 00:00:00,826254540126.2368,Bitcoin (BTC)
2024-01-29 00:00:00,824240091063.3245,Bitcoin (BTC)
2024-01-30 00:00:00,849198976216.4734,Bitcoin (BTC)
2024-01-31 00:00:00,839294111912.5715,Bitcoin (BTC)
2024-02-01 00:00:00,835421372330.6442,Bitcoin (BTC)
2024-02-02 00:00:00,844585195327.6586,Bitcoin (BTC)
